D_e (mm),D_i (mm),I_o (mm),t (mm),E,mu,s (mm),F (N),Stress_OM (Mpa),Stress_1 (Mpa,Stress_2 (Mpa),Stress_3 (Mpa),Stress_4 (Mpa)
205.0,116.0,1.0,0.5,210000.0,0.3,0.375,1.873039217414474,6.187660801172525,13.056257114141696,-0.008153088232075919,-0.0986135770929573,1.490809004864926
205.0,116.0,2.0,0.5,210000.0,0.3,1.125,11.693839438452528,18.562982403517573,67.48245281721483,18.090039861200278,-0.6044603450382249,-0.32139849623983435
205.0,116.0,3.0,0.5,210000.0,0.3,1.875,39.738805018117894,30.938304005862612,159.6602238200076,76.28712180324027,-1.5217999313292963,-1.0500301833319787
205.0,116.0,4.0,0.5,210000.0,0.3,2.625,98.1573795288288,43.31362560820767,289.5895701225201,172.86722729904585,-2.8506323359661736,-2.1901546887699284
205.0,116.0,2.0,1.0,210000.0,0.3,0.75,29.968627478631586,24.7506432046901,52.22502845656678,-0.032612352928303674,-0.3944543083718292,5.963236019459704
205.0,116.0,3.0,1.0,210000.0,0.3,1.5,84.23614210209959,49.5012864093802,142.2016322128532,16.155255077934537,-1.2004014350894625,-0.44556983829375413
205.0,116.0,4.0,1.0,210000.0,0.3,2.25,187.10143101524045,74.25192961407029,269.92981126885934,72.36015944480111,-2.4178413801528995,-1.2855939849593374
205.0,116.0,5.0,1.0,210000.0,0.3,3.0,362.86338136289055,99.0025728187604,435.4095656245851,168.83031003366656,-4.046774143562142,-2.537110949970725
205.0,116.0,2.0,1.5,210000.0,0.3,0.375,44.497337083981705,18.562982403517573,29.730877517495163,-0.17489929226561063,-0.19296752669242087,10.926203964811283
205.0,116.0,3.0,1.5,210000.0,0.3,1.125,151.71617661057243,55.68894721055272,117.50631402727525,-0.07337779408868328,-0.8875221938366158,13.417281043784337
205.0,116.0,4.0,1.5,210000.0,0.3,1.875,313.60751221304514,92.81491201758786,243.03332583677494,14.33039931643897,-1.993569679326614,-0.5782604353346611
205.0,116.0,5.0,1.5,210000.0,0.3,2.625,566.6196746086545,129.94087682462302,406.3119129459945,68.43619737045876,-3.511109983162418,-1.5296770415736833
