D_e (mm),D_i (mm),I_o (mm),t (mm),E,mu,s (mm),F (N),Stress_OM (Mpa),Stress_1 (Mpa),Stress_2 (Mpa),Stress_3 (Mpa),Stress_4 (Mpa)
205,116,5.196,1,210000,0.3,3.147,407.94,103.85,472.27,192.46,-4.41,-2.83
205,116,1,0.5,210000,0.3,0.375,1.87,6.19,13.06,-0.01,-0.10,1.49
205,116,2,0.5,210000,0.3,1.125,11.69,18.56,67.48,18.09,-0.60,-0.32
205,116,3,0.5,210000,0.3,1.875,39.74,30.94,159.66,76.29,-1.52,-1.05
205,116,4,0.5,210000,0.3,2.625,98.16,43.31,289.59,172.87,-2.85,-2.19
205,116,2,1,210000,0.3,0.75,29.97,24.75,52.23,-0.03,-0.39,5.96
205,116,3,1,210000,0.3,1.5,84.24,49.50,142.20,16.16,-1.20,-0.45
205,116,4,1,210000,0.3,2.25,187.10,74.25,269.93,72.36,-2.42,-1.29
205,116,5,1,210000,0.3,3,362.86,99.00,435.41,168.83,-4.05,-2.54
205,116,2,1.5,210000,0.3,0.375,44.50,18.56,29.73,-0.17,-0.19,10.93
205,116,3,1.5,210000,0.3,1.125,151.72,55.69,117.51,-0.07,-0.89,13.42
205,116,4,1.5,210000,0.3,1.875,313.61,92.81,243.03,14.33,-1.99,-0.58
205,116,5,1.5,210000,0.3,2.625,566.62,129.94,406.31,68.44,-3.51,-1.53
